Time_Soln#15 (sec),Volume_Soln#15 (cm3),Volumetric_heat_production_rate_Soln#15 (erg/cm3-sec),Surface_temperature_Soln#15 (K),Temperature_Soln#15 (K),Mass_Soln#15 (g),Pressure_Soln#15 (atm),Mole_fraction_H2_Soln#15 (),Mole_fraction_H_Soln#15 (),Mole_fraction_CH4_Soln#15 (),Mole_fraction_CH3_Soln#15 (),Mole_fraction_C2H4_Soln#15 (),Mole_fraction_C2H2_Soln#15 (),Mole_fraction_C4H4_Soln#15 (),Mole_fraction_C4H2_Soln#15 (),Mole_fraction_C6H6_Soln#15 (),Mole_fraction_C10H8_Soln#15 (),Mole_fraction_C7H8_Soln#15 (),Mole_fraction_C7H7_Soln#15 (),Mole_fraction_C6H5C2H_Soln#15 (),Mole_fraction_C6H5C2H3_Soln#15 (),Mole_fraction_C6H5C2H5_Soln#15 (),Mole_fraction_BIPHENYL_Soln#15 (),Mole_fraction_C14H10_Soln#15 (),Mole_fraction_C16H10_Soln#15 (),Mole_fraction_BIN1B_Soln#15 (),Mole_fraction_BIN1A_Soln#15 (),Molecular_weight_Soln#15 (g/mole),Mass_density_Soln#15 (g/cm3),Unburned_hydrocarbons_Soln#15 (ppm),Volatile_organic_compounds_Soln#15 (ppm)
1.534771E-5,15.66177,-4.335788E8,1671.281,1671.281,0.00119386,1.0,0.886984,1.591063E-4,0.01578537,3.361706E-4,0.007997386,0.002914034,9.897965E-5,1.494237E-4,0.01490008,3.703261E-5,0.02904921,0.004771175,0.003558978,0.0305821,8.392713E-4,3.095331E-5,1.110231E-4,2.888305E-5,3.012675E-7,1.167078E-5,10.45395,7.622767E-5,658969.8,658969.8
1.563714E-5,15.66262,-4.713571E8,1671.25,1671.25,0.00119386,1.0,0.8868024,1.574374E-4,0.01588556,3.28354E-4,0.008064996,0.002948357,1.005112E-4,1.533914E-4,0.01504748,3.840696E-5,0.02905024,0.004726492,0.003590916,0.03045369,7.977969E-4,3.154581E-5,1.128122E-4,2.970263E-5,3.141887E-7,1.203976E-5,10.45318,7.622349E-5,658921.5,658921.5
1.580843E-5,15.66311,-4.936731E8,1671.231,1671.231,0.00119386,1.0,0.8866967,1.564781E-4,0.01594355,3.238906E-4,0.008104484,0.002968515,1.014089E-4,1.55755E-4,0.0151337,3.922798E-5,0.02905014,0.004700403,0.003609571,0.03037844,7.742713E-4,3.189546E-5,1.138659E-4,3.01885E-5,3.21969E-7,1.225936E-5,10.45273,7.62211E-5,658893.2,658893.2
1.581591E-5,15.66314,-4.947682E8,1671.23,1671.23,0.00119386,1.0,0.8866921,1.564366E-4,0.01594607,3.236983E-4,0.008106202,0.002969393,1.01448E-4,1.558586E-4,0.01513745,3.926399E-5,0.02905013,0.004699269,0.003610383,0.03037517,7.732601E-4,3.191072E-5,1.139118E-4,3.020975E-5,3.223113E-7,1.226898E-5,10.45271,7.6221E-5,658892.0,658892.0
1.582561E-5,15.66316,-4.958295E8,1671.229,1671.229,0.00119386,1.0,0.8866862,1.56383E-4,0.01594932,3.234495E-4,0.008108424,0.00297053,1.014986E-4,1.559927E-4,0.0151423,3.931064E-5,0.0290501,0.004697801,0.003611432,0.03037093,7.719526E-4,3.193048E-5,1.139713E-4,3.023726E-5,3.227548E-7,1.228144E-5,10.45269,7.622087E-5,658890.4,658890.4
1.588323E-5,15.66332,-5.030536E8,1671.222,1671.222,0.00119386,1.0,0.886651,1.560658E-4,0.01596858,3.219787E-4,0.008121608,0.002977282,1.017989E-4,1.567909E-4,0.01517111,3.958833E-5,0.02904994,0.004689094,0.003617662,0.03034575,7.642306E-4,3.204792E-5,1.143248E-4,3.040087E-5,3.253983E-7,1.235555E-5,10.45254,7.622008E-5,658880.9,658880.9
1.604272E-5,15.66376,-5.233666E8,1671.203,1671.203,0.00119386,1.0,0.8865542,1.552001E-4,0.01602135,3.179753E-4,0.008157879,0.002995905,1.026263E-4,1.590066E-4,0.01525043,4.036013E-5,0.02904918,0.004665151,0.0036348,0.0302764,7.432755E-4,3.237254E-5,1.153011E-4,3.085403E-5,3.327729E-7,1.256119E-5,10.45212,7.621795E-5,658854.8,658854.8
1.605009E-5,15.66378,-5.242637E8,1671.202,1671.202,0.00119386,1.0,0.8865497,1.551605E-4,0.01602377,3.177926E-4,0.008159549,0.002996764,1.026645E-4,1.591093E-4,0.01525408,4.039594E-5,0.02904913,0.00466405,0.003635589,0.0302732,7.423213E-4,3.238753E-5,1.153461E-4,3.0875E-5,3.33116E-7,1.257072E-5,10.4521,7.621785E-5,658853.6,658853.6
1.623734E-5,15.66428,-5.478183E8,1671.178,1671.178,0.00119386,1.0,0.8864375,1.541674E-4,0.01608467,3.132229E-4,0.008201703,0.003018501,1.036286E-4,1.617236E-4,0.01534637,4.130847E-5,0.02904765,0.004636254,0.003655508,0.03019239,7.185302E-4,3.276783E-5,1.16488E-4,3.140764E-5,3.418898E-7,1.281317E-5,10.45162,7.621541E-5,658823.2,658823.2
1.639963E-5,15.6647,-5.682921E8,1671.157,1671.157,0.00119386,1.0,0.8863414,1.533253E-4,0.0161366,3.093676E-4,0.008237892,0.003037237,1.044581E-4,1.64E-4,0.01542568,4.21046E-5,0.02904591,0.004612423,0.003672609,0.03012284,6.985596E-4,3.309677E-5,1.174742E-4,3.186977E-5,3.4959E-7,1.302412E-5,10.45121,7.621336E-5,658797.0,658797.1
